Raw file	Experiment	Fraction	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]
RO-CS-180702_HuangH_HH_F1	C_vs_P	1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Reporter ion MS2		6282	24630	0	25779	23481	0	2298	9527	9445	0	82	36.96	40.22	NaN	3.57	6200	585018	20398	3.49	3152	15.45	66212	18437	18326	27.85	32.66	3866	20.97	+	0.3031	0.50402	144710	154860
RO-CS-180702_HuangH_HH_F2	C_vs_P	2	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Reporter ion MS2		5735	26408	0	27902	24914	0	2988	9655	9535	0	120	34.6	38.27	NaN	4.02	6129	592291	22073	3.73	3384	15.33	70670	19627	19523	27.77	31.34	4280	21.81	+	0.30504	0.50839	148240	158510
RO-CS-180702_HuangH_HH_F3	C_vs_P	3	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Reporter ion MS2		5815	26456	0	27933	24979	0	2954	11391	11229	0	162	40.78	44.95	NaN	5.48	7052	550134	21171	3.85	3861	18.24	63658	18762	18644	29.47	33.42	4686	24.98	+	0.31034	0.51916	152390	162310
RO-CS-180702_HuangH_HH_F4	C_vs_P	4	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Reporter ion MS2		5690	26923	0	28835	25011	0	3824	11594	11371	0	223	40.21	45.46	NaN	5.83	7173	523139	21501	4.11	3867	17.99	62823	18894	18785	30.07	33.84	4655	24.64	+	0.31469	0.52204	154970	164510
RO-CS-180702_HuangH_HH_F5	C_vs_P	5	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Reporter ion MS2		5611	27331	0	29436	25226	0	4210	12244	11995	0	249	41.6	47.55	NaN	5.91	7525	533692	22073	4.14	3674	16.64	65830	19346	19230	29.39	33.05	4491	23.21	+	0.32162	0.53379	158850	168420
RO-CS-180702_HuangH_HH_F6	C_vs_P	6	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Reporter ion MS2		5575	26976	0	29535	24417	0	5118	10260	10052	0	208	34.74	41.17	NaN	4.06	6567	568961	22453	3.95	3249	14.47	69083	19364	19174	28.03	31.35	4057	20.95	+	0.30614	0.51301	160970	170390
RO-CS-180702_HuangH_HH_F7	C_vs_P	7	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Reporter ion MS2		5725	26831	0	29461	24201	0	5260	11088	10817	0	271	37.64	44.7	NaN	5.15	6967	520447	21412	4.11	3731	17.42	62597	18308	18133	29.25	32.84	4504	24.6	+	0.3309	0.52143	167200	176030
RO-CS-180702_HuangH_HH_F8	C_vs_P	8	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Reporter ion MS2		5942	26157	0	28996	23318	0	5678	10288	9935	0	353	35.48	42.61	NaN	6.22	6447	515545	20793	4.03	3703	17.81	59205	17429	17236	29.44	33.28	4447	25.51	+	0.31794	0.53388	169280	177640
RO-CS-180702_HuangH_HH_F9	C_vs_P	9	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Reporter ion MS2		6063	25928	0	29124	22732	0	6392	9139	8816	0	323	31.38	38.78	NaN	5.05	5416	503386	20095	3.99	3942	19.62	54713	16426	16238	30.02	34.03	4625	28.16	+	0.31517	0.5221	170850	179190
RO-CS-180702_HuangH_HH_F10	C_vs_P	10	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Reporter ion MS2		6082	25891	0	29539	22243	0	7296	7955	7661	0	294	26.93	34.44	NaN	4.03	4715	501376	20471	4.08	3707	18.11	54695	16559	16323	30.28	34.42	4318	26.08	+	0.30926	0.51206	172320	180520
